epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.644,1.57749,5.84204,1.31855,0.52108,0.46467,0.4732,0.22435,2.29761,4.91187,1.38818,0.000332377,0.000332377,0.000332377
2,308.72,1.65354,4.56656,1.39104,0.28631,0.33248,0.2538,0.11528,2.72504,5.26751,1.61901,0.000665615,0.000665615,0.000665615
3,477.247,1.68017,4.60421,1.43362,0.32583,0.44873,0.31362,0.12901,2.50055,4.78569,1.46334,0.000998201,0.000998201,0.000998201
4,649.465,1.64769,4.29771,1.42779,0.65174,0.46372,0.48917,0.23542,2.30439,4.87479,1.42653,0.00132965,0.00132965,0.00132965
5,806.65,1.64634,4.26006,1.41761,0.53595,0.50076,0.49645,0.22725,2.4104,4.3104,1.51278,0.00165947,0.00165947,0.00165947
6,972.004,1.61971,3.9914,1.38604,0.62126,0.51292,0.54667,0.24289,2.42382,4.45269,1.39622,0.00165684,0.00165684,0.00165684
7,1148.1,1.5455,3.7974,1.36449,0.57316,0.55639,0.52548,0.22145,2.23302,4.00955,1.38862,0.00165238,0.00165238,0.00165238
8,1312.72,1.49365,3.70697,1.33191,0.64082,0.58245,0.57271,0.27272,2.1238,3.22216,1.30539,0.00164713,0.00164713,0.00164713
9,1467.06,1.51833,3.5638,1.34606,0.73579,0.64457,0.65147,0.29737,2.08819,3.3596,1.29206,0.00164108,0.00164108,0.00164108
10,1625.7,1.46951,3.42374,1.31001,0.74063,0.54266,0.63821,0.31246,2.06518,3.28942,1.29644,0.00163424,0.00163424,0.00163424
11,1805.44,1.46564,3.32063,1.2981,0.73096,0.55899,0.62808,0.28012,2.1422,3.3631,1.31536,0.00162661,0.00162661,0.00162661
12,1966.23,1.4525,3.34083,1.27823,0.58455,0.63716,0.61381,0.28714,2.06142,3.18008,1.32552,0.00161822,0.00161822,0.00161822
13,2133.47,1.42984,3.17521,1.27904,0.77564,0.63618,0.70205,0.30917,2.04085,2.99971,1.39543,0.00160905,0.00160905,0.00160905
14,2301.41,1.41135,3.1285,1.26802,0.66715,0.62405,0.64559,0.32419,2.14746,3.0328,1.28941,0.00159913,0.00159913,0.00159913
15,2456.03,1.40446,3.07835,1.26997,0.67806,0.56265,0.58019,0.27231,2.12282,3.3553,1.30904,0.00158847,0.00158847,0.00158847
16,2636.06,1.37205,3.02397,1.25745,0.73648,0.67534,0.70606,0.36445,1.89391,2.81602,1.24082,0.00157706,0.00157706,0.00157706
17,2812.01,1.36741,2.98557,1.24831,0.74098,0.62073,0.69025,0.35046,1.94829,2.94392,1.2907,0.00156493,0.00156493,0.00156493
18,2984.23,1.34944,2.87343,1.23266,0.74765,0.7046,0.73717,0.353,1.88685,2.75991,1.31774,0.00155209,0.00155209,0.00155209
19,3142.15,1.34772,2.88894,1.24129,0.74261,0.65437,0.72818,0.36308,1.91958,2.67694,1.24532,0.00153854,0.00153854,0.00153854
20,3315.29,1.35998,2.85865,1.24598,0.73984,0.71878,0.75973,0.40304,1.90536,2.7008,1.23659,0.00152431,0.00152431,0.00152431
21,3496.62,1.32007,2.78619,1.22016,0.70387,0.66367,0.69234,0.35435,1.88858,2.77019,1.28044,0.00150941,0.00150941,0.00150941
22,3671.84,1.29511,2.71165,1.22069,0.7566,0.58378,0.67707,0.34244,1.90357,3.03073,1.25936,0.00149384,0.00149384,0.00149384
23,3846.41,1.28263,2.68018,1.2116,0.76771,0.74254,0.78093,0.40681,1.79507,2.49178,1.24482,0.00147764,0.00147764,0.00147764
24,4000.7,1.30092,2.63778,1.20852,0.77668,0.74696,0.77024,0.38407,1.89812,2.64153,1.29829,0.0014608,0.0014608,0.0014608
25,4179.68,1.27152,2.6191,1.19424,0.78909,0.67492,0.74494,0.38957,1.855,2.55455,1.27854,0.00144335,0.00144335,0.00144335
26,4348.23,1.26322,2.60095,1.19488,0.74773,0.75893,0.7694,0.40706,1.88304,2.46546,1.33216,0.00142531,0.00142531,0.00142531
27,4527.37,1.26721,2.5554,1.19476,0.77509,0.60772,0.70101,0.35534,1.81052,3.36699,1.2739,0.0014067,0.0014067,0.0014067
28,4701.38,1.26357,2.55023,1.18897,0.73776,0.72563,0.74692,0.39313,1.78247,2.48812,1.20051,0.00138753,0.00138753,0.00138753
29,4880.97,1.24638,2.52539,1.18409,0.74765,0.70441,0.73974,0.39645,1.78447,2.41787,1.17436,0.00136781,0.00136781,0.00136781
30,5045.05,1.24365,2.49759,1.17352,0.80138,0.69377,0.76035,0.38244,1.85543,2.50722,1.23057,0.00134758,0.00134758,0.00134758
31,5207.54,1.23583,2.45441,1.18439,0.81905,0.72188,0.7813,0.411,1.8061,2.55183,1.28953,0.00132685,0.00132685,0.00132685
32,5376.2,1.20768,2.38275,1.1642,0.7361,0.7143,0.75281,0.40332,1.81714,2.4819,1.2153,0.00130565,0.00130565,0.00130565
33,5503.32,1.22688,2.40966,1.17864,0.80346,0.73289,0.76096,0.42177,1.75103,2.33894,1.19837,0.00128398,0.00128398,0.00128398
34,5612.25,1.20198,2.35738,1.16609,0.78999,0.72272,0.78865,0.41275,1.76267,2.31875,1.23221,0.00126188,0.00126188,0.00126188
35,5721.29,1.21871,2.35422,1.16317,0.7342,0.80253,0.79388,0.41984,1.77052,2.28173,1.2367,0.00123936,0.00123936,0.00123936
36,5830.12,1.20035,2.33129,1.16366,0.81603,0.72454,0.79854,0.42228,1.75138,2.30123,1.18922,0.00121645,0.00121645,0.00121645
